index,ranking
0,"maats,single_agent,zero_shot"
1,"maats,zero_shot,single_agent"
2,"maats,single_agent,zero_shot"
3,"zero_shot,single_agent,maats"
3,"zero_shot,single_agent,maats"
3,"zero_shot,single_agent,maats"
4,"zero_shot,maats,single_agent"
5,"maats,single_agent,zero_shot"
6,"zero_shot,maats,single_agent"
7,"maats,single_agent,zero_shot"
8,"maats,zero_shot,single_agent"
9,"zero_shot,single_agent,maats"
10,"maats,single_agent,zero_shot"
11,"single_agent,zero_shot,maats"
12,"single_agent,zero_shot,maats"
13,"zero_shot,maats,single_agent"
14,"maats,single_agent,zero_shot"
15,"single_agent,maats,zero_shot"
16,"maats,single_agent,zero_shot"
17,"single_agent,maats,zero_shot"
18,"maats,zero_shot,single_agent"
19,"single_agent,maats,zero_shot"
20,"maats,single_agent,zero_shot"
21,"maats,single_agent,zero_shot"
22,"maats,zero_shot,single_agent"
23,"maats,single_agent,zero_shot"
24,"maats,zero_shot,single_agent"
25,"maats,single_agent,zero_shot"
26,"single_agent,zero_shot,maats"
27,"maats,single_agent,zero_shot"
28,"single_agent,maats,zero_shot"
29,"zero_shot,maats,single_agent"
30,"zero_shot,single_agent,maats"
31,"maats,single_agent,zero_shot"
32,"maats,zero_shot,single_agent"
33,"single_agent,zero_shot,maats"
34,"single_agent,zero_shot,maats"
35,"maats,single_agent,zero_shot"
36,"single_agent,maats,zero_shot"
37,"maats,single_agent,zero_shot"
38,"single_agent,zero_shot,maats"
39,"single_agent,zero_shot,maats"
40,"single_agent,maats,zero_shot"
41,"zero_shot,single_agent,maats"
42,"maats,single_agent,zero_shot"
43,"single_agent,maats,zero_shot"
44,"zero_shot,single_agent,maats"
45,"maats,single_agent,zero_shot"
46,"single_agent,maats,zero_shot"
47,"zero_shot,single_agent,maats"
48,"maats,zero_shot,single_agent"
49,"maats,single_agent,zero_shot"
50,"single_agent,maats,zero_shot"
51,"maats,single_agent,zero_shot"
52,"single_agent,maats,zero_shot"
53,"single_agent,maats,zero_shot"
54,"single_agent,zero_shot,maats"
55,"single_agent,maats,zero_shot"
56,"maats,zero_shot,single_agent"
57,"zero_shot,single_agent,maats"
58,"zero_shot,maats,single_agent"
59,"maats,zero_shot,single_agent"
60,"single_agent,zero_shot,maats"
61,"maats,single_agent,zero_shot"
62,"single_agent,zero_shot,maats"
63,"maats,zero_shot,single_agent"
64,"zero_shot,single_agent,maats"
65,"single_agent,zero_shot,maats"
66,"maats,zero_shot,single_agent"
67,"maats,single_agent,zero_shot"
68,"zero_shot,maats,single_agent"
69,"single_agent,zero_shot,maats"
70,"zero_shot,maats,single_agent"
71,"zero_shot,maats,single_agent"
72,"zero_shot,single_agent,maats"
73,"single_agent,maats,zero_shot"
74,"zero_shot,maats,single_agent"
75,"zero_shot,single_agent,maats"
76,"single_agent,maats,zero_shot"
77,"maats,zero_shot,single_agent"
78,"maats,zero_shot,single_agent"
79,"zero_shot,single_agent,maats"
80,"zero_shot,single_agent,maats"
81,"maats,single_agent,zero_shot"
82,"single_agent,maats,zero_shot"
83,"single_agent,zero_shot,maats"
84,"maats,single_agent,zero_shot"
85,"maats,single_agent,zero_shot"
86,"single_agent,zero_shot,maats"
87,"maats,zero_shot,single_agent"
88,"maats,zero_shot,single_agent"
89,"single_agent,maats,zero_shot"
90,"single_agent,maats,zero_shot"
91,"maats,single_agent,zero_shot"
92,"maats,single_agent,zero_shot"
93,"single_agent,zero_shot,maats"
94,"maats,single_agent,zero_shot"
95,"single_agent,zero_shot,maats"
96,"zero_shot,single_agent,maats"
97,"zero_shot,single_agent,maats"
98,"zero_shot,single_agent,maats"
